iter	Logloss
0	0.6552250133
1	0.6244952873
2	0.5922635477
3	0.5652415718
4	0.542231851
5	0.5219755145
6	0.5015344928
7	0.484963056
8	0.4684969465
9	0.4529285531
10	0.4406041856
11	0.4297687891
12	0.4207691107
13	0.4120478684
14	0.4044649392
15	0.3974031538
16	0.3919015223
17	0.3865153988
18	0.3810372011
19	0.3769801661
20	0.3724091231
21	0.3691486052
22	0.3649837975
23	0.362101598
24	0.3584004329
25	0.3551873469
26	0.3522908436
27	0.3497506885
28	0.3474709117
29	0.3451370244
30	0.3431620773
31	0.3418888273
32	0.3404045596
33	0.3391665835
34	0.3373867467
35	0.3360977125
36	0.3349652636
37	0.3335271955
38	0.332151829
39	0.3309884912
40	0.3296496213
41	0.3284802833
42	0.3272933627
43	0.3261150711
44	0.3253947181
45	0.3247703317
46	0.3240309932
47	0.3230635867
48	0.3221192572
49	0.3214517302
50	0.3206169267
51	0.3199314775
52	0.3191875981
53	0.3185413529
54	0.3179350834
55	0.3174121847
56	0.3167694372
57	0.3161594402
58	0.3156668648
59	0.3150532128
60	0.3143792262
61	0.3137246431
62	0.3132427414
63	0.3126675034
64	0.3121450064
65	0.3115081258
66	0.3111653179
67	0.310621849
68	0.3102485091
69	0.3095826258
70	0.3092095216
71	0.3087926486
72	0.3083796129
73	0.3076910175
74	0.3071303244
75	0.3068101251
76	0.3064819147
77	0.3060217651
78	0.3057768672
79	0.3053741106
80	0.3050617744
81	0.3046479648
82	0.3043228896
83	0.303887313
84	0.3035130391
85	0.3032569132
86	0.3029721692
87	0.3027286284
88	0.302364702
89	0.3020395562
90	0.3017854602
91	0.3014913676
92	0.30123459
93	0.3009660953
94	0.3005449898
95	0.3001580216
96	0.2998630538
97	0.299651718
98	0.2994409785
99	0.2992277127
100	0.2989999462
101	0.2987864205
102	0.2985570415
103	0.2982805046
104	0.2980566449
105	0.2977539344
106	0.2974305259
107	0.2973294141
108	0.297115921
109	0.2969318432
110	0.2967156593
111	0.296428975
112	0.2961607397
113	0.2959577106
114	0.29537254
115	0.2950566036
116	0.2948455756
117	0.2946375125
118	0.2943873113
119	0.29414141
120	0.294000724
121	0.2937915028
122	0.293490864
123	0.2933674712
124	0.2931442999
125	0.2930626314
126	0.2927999868
127	0.2926122833
128	0.2924209452
129	0.2922067431
130	0.2920511151
131	0.2919534287
132	0.2916812617
133	0.2913211726
134	0.2911524525
135	0.2909803415
136	0.2908486322
137	0.2906768471
138	0.2905070438
139	0.2902764942
140	0.2901824126
141	0.2901034811
142	0.2899830579
143	0.2898789432
144	0.2897724286
145	0.2896748843
146	0.2894437071
147	0.2893642761
148	0.2890647803
149	0.2888955309
150	0.288783181
151	0.2885488035
152	0.2884480154
153	0.2882578605
154	0.2880990014
155	0.2879703384
156	0.2877715681
157	0.2876293259
158	0.2873467698
159	0.287261959
160	0.2870806136
161	0.2868657838
162	0.2867483393
163	0.2866803546
164	0.2865581747
165	0.2864658751
166	0.2863193892
167	0.2862225608
168	0.2861135021
169	0.2859892055
170	0.2858252442
171	0.2857099444
172	0.2854103453
173	0.2852992009
174	0.2851767063
175	0.2849487714
176	0.2848578292
177	0.2846988135
178	0.2845778794
179	0.2844481193
180	0.2843207021
181	0.2841954113
182	0.2841051713
183	0.284026485
184	0.2839027994
185	0.2838045953
186	0.2837089485
187	0.2836093312
188	0.2832428386
189	0.2831346355
190	0.2830379801
191	0.2828554627
192	0.2827131502
193	0.2826096528
194	0.2824794755
195	0.2823584526
196	0.2821784218
197	0.2820614361
198	0.2817674187
199	0.2816987121
200	0.2815599272
201	0.2814554249
202	0.2813221395
203	0.2812153667
204	0.2811444252
205	0.281063511
206	0.2809700493
207	0.2808273446
208	0.2807496811
209	0.2806651972
210	0.2805267892
211	0.2802964299
212	0.2802243693
213	0.2801129054
214	0.2800443732
215	0.2799736671
216	0.2798921741
217	0.2797952301
218	0.2796636706
219	0.2795441835
220	0.2794208884
221	0.2793063254
222	0.2792341062
223	0.2791341253
224	0.2790849209
225	0.2786608247
226	0.278527008
227	0.2784207736
228	0.2783019094
229	0.2781935607
230	0.2780990168
231	0.2780045852
232	0.2779381355
233	0.2778696167
234	0.2777978983
235	0.2777323063
236	0.2776856665
237	0.2776359455
238	0.2775633871
239	0.2774674008
240	0.2773684187
241	0.2772376044
242	0.2770979499
243	0.2769543499
244	0.2766819255
245	0.2766299367
246	0.2765407596
247	0.2763498696
248	0.2762936918
249	0.2762198685
250	0.2761122423
251	0.2760157732
252	0.2758298874
253	0.2756540807
254	0.2754347422
255	0.2753265135
256	0.275254169
257	0.2751401351
258	0.2750496487
259	0.2748721485
260	0.2747807323
261	0.2746973685
262	0.274646325
263	0.2744672855
264	0.2743843305
265	0.2743219426
266	0.2742218608
267	0.274072206
268	0.2739772991
269	0.2737151264
270	0.2735815706
271	0.2735196955
272	0.2734300165
273	0.2733579954
274	0.273251068
275	0.2731723968
276	0.2731033017
277	0.2730154806
278	0.2727861603
279	0.272696185
280	0.2726124257
281	0.2725487618
282	0.2724515068
283	0.2723972573
284	0.2723323147
285	0.2721905904
286	0.2720383511
287	0.2719716851
288	0.2717483628
289	0.2716792461
290	0.2714750338
291	0.2714060428
292	0.2713092357
293	0.2712100648
294	0.2708280264
295	0.2707530422
296	0.2706899795
297	0.2706570399
298	0.2705952577
299	0.2703008259
300	0.2702318008
301	0.2701468461
302	0.2700909967
303	0.2700091631
304	0.2699563716
305	0.2698749195
306	0.2697987817
307	0.2697344864
308	0.2696726108
309	0.2695998687
310	0.2694718968
311	0.2693627284
312	0.2691619733
313	0.2690889846
314	0.2690181081
315	0.2689659734
316	0.2687226972
317	0.2686514169
318	0.2686069639
319	0.2685506243
320	0.2684645396
321	0.2683735419
322	0.2682714701
323	0.2681838801
324	0.2680091931
325	0.267906572
326	0.267780844
327	0.2677351779
328	0.2676373611
329	0.2675761424
330	0.2674808748
331	0.2674018411
332	0.2671046919
333	0.2670040173
334	0.2669516424
335	0.2668735795
336	0.2667682655
337	0.2667259905
338	0.2666888326
339	0.2666289951
340	0.2664309822
341	0.2663800085
342	0.2663237558
343	0.266249599
344	0.2662101913
345	0.266100732
346	0.266028147
347	0.265944686
348	0.2658912748
349	0.2658423982
350	0.2657573422
351	0.2656984511
352	0.2656675374
353	0.2656073411
354	0.2655096237
355	0.2654528633
356	0.26541884
357	0.2653265432
358	0.2652511359
359	0.2651772602
360	0.2649695633
361	0.2648831626
362	0.2648084454
363	0.2647196787
364	0.264660807
365	0.2646058714
366	0.2645210122
367	0.264429401
368	0.2643913562
369	0.264320916
370	0.26422762
371	0.2641468136
372	0.2640854005
373	0.2640318863
374	0.2639257526
375	0.2637395345
376	0.2636611268
377	0.2636202075
378	0.2635581347
379	0.2635022787
380	0.2634283809
381	0.2633907686
382	0.2633265963
383	0.2632790307
384	0.2632340862
385	0.2631821174
386	0.263116039
387	0.2630841604
388	0.2628499492
389	0.2628015494
390	0.2627557644
391	0.2627289428
392	0.2626584245
393	0.2624911201
394	0.2624339046
395	0.2623677649
396	0.2623088627
397	0.2622249491
398	0.2621892948
399	0.262148391
400	0.262109602
401	0.2620449544
402	0.2620097215
403	0.2619289734
404	0.2618552221
405	0.2618172533
406	0.2617757697
407	0.2617451445
408	0.2616992849
409	0.2616719534
410	0.261635276
411	0.2615646213
412	0.2615144456
413	0.2614799931
414	0.2614236815
415	0.261374525
416	0.2613116485
417	0.261262259
418	0.261237504
419	0.2611823569
420	0.2611442974
421	0.2610890216
422	0.261051932
423	0.2609957746
424	0.2609689625
425	0.26092691
426	0.2608762739
427	0.2608498466
428	0.2607900273
429	0.2607317099
430	0.2606916451
431	0.260641669
432	0.2605729493
433	0.2605022988
434	0.2604597411
435	0.2604252073
436	0.2603666559
437	0.2603425282
438	0.2603083479
439	0.260246905
440	0.2601778207
441	0.2601494907
442	0.2601040321
443	0.2600686322
444	0.260005985
445	0.2599412723
446	0.2599024383
447	0.2598702797
448	0.2597578367
449	0.2597088049
450	0.2596486948
451	0.2595800128
452	0.2595486683
453	0.2594503197
454	0.259394509
455	0.2593195326
456	0.2592696599
457	0.2592410852
458	0.2591044648
459	0.2590413481
460	0.2590125373
461	0.2589385392
462	0.2588728154
463	0.2588221879
464	0.2587929963
465	0.2587484498
466	0.2587024805
467	0.258656951
468	0.2586296846
469	0.2585980719
470	0.2585285606
471	0.2584467742
472	0.2584118101
473	0.2583518468
474	0.2583067771
475	0.2582422237
476	0.2582080726
477	0.2581658068
478	0.258125332
479	0.2580892919
480	0.2580694073
481	0.2580303696
482	0.2579662593
483	0.2579150519
484	0.2578812135
485	0.2578589308
486	0.2578222022
487	0.2576952126
488	0.2576666038
489	0.2576186729
490	0.2575662101
491	0.257465243
492	0.2574339503
493	0.2574112818
494	0.2573431552
495	0.2573172436
496	0.2572973294
497	0.2571726387
498	0.2571407724
499	0.2570230258
500	0.2569752691
501	0.2569354716
502	0.2569101143
503	0.2568331147
504	0.2567751376
505	0.2567563913
506	0.2567371639
507	0.2566862893
508	0.256623946
509	0.2565733178
510	0.2565254949
511	0.2564990249
512	0.2563992486
513	0.2563482483
514	0.2563067864
515	0.2562550988
516	0.2562186378
517	0.2561975613
518	0.2561416338
519	0.2560880952
520	0.2560464514
521	0.2560194347
522	0.2559894104
523	0.2558720929
524	0.2558175803
525	0.2557707707
526	0.255751446
527	0.2557251832
528	0.2556788379
529	0.2556006208
530	0.2555731084
531	0.2555498712
532	0.2555225201
533	0.2554361744
534	0.2553903602
535	0.2553677089
536	0.2553286358
537	0.255255564
538	0.2552264072
539	0.2551880304
540	0.2551423148
541	0.255076754
542	0.2550221064
543	0.2549742428
544	0.2549283153
545	0.2548842352
546	0.2548402143
547	0.2547877634
548	0.2547634915
549	0.2547427309
550	0.254706149
551	0.2546789851
552	0.2546508399
553	0.2546146304
554	0.2545963847
555	0.2545561364
556	0.2545295671
557	0.2544853664
558	0.2544244238
559	0.2543557423
560	0.2542978391
561	0.2542321069
562	0.2541817858
563	0.2541620996
564	0.2541307432
565	0.2540967385
566	0.2540557814
567	0.2540065164
568	0.2539625169
569	0.2538987672
570	0.2538594244
571	0.2538309383
572	0.2538079032
573	0.2537847257
574	0.2537464254
575	0.2537035615
576	0.2536425975
577	0.2536024806
578	0.2535537143
579	0.2535285
580	0.2534823513
581	0.2534538048
582	0.2533749376
583	0.2533474865
584	0.2533095859
585	0.2532918391
586	0.2532448302
587	0.2531232546
588	0.2530939697
589	0.2530388889
590	0.2529793456
591	0.2529317537
592	0.2528862298
593	0.2528301685
594	0.2527862293
595	0.252770165
596	0.2527043985
597	0.2526594914
598	0.2526319945
599	0.2525893558
600	0.252530082
601	0.2525119843
602	0.2524653085
603	0.2524316972
604	0.2523714424
605	0.252314087
606	0.2522707633
607	0.2522274192
608	0.2521874113
609	0.2521321673
610	0.2521065727
611	0.2520401451
612	0.2520087843
613	0.2519782951
614	0.251943711
615	0.2519143842
616	0.2518651269
617	0.2518155243
618	0.2517752385
619	0.2517444137
620	0.2516983217
621	0.2516495621
622	0.2515941652
623	0.2515713768
624	0.2515333669
625	0.2514936096
626	0.2514634455
627	0.2514199317
628	0.2513916545
629	0.2513573295
630	0.2513261136
631	0.2512995674
632	0.2512627273
633	0.2512116336
634	0.2511435254
635	0.2511152274
636	0.2510761498
637	0.2510358283
638	0.2510166856
639	0.2509845723
640	0.2509571805
641	0.2509269747
642	0.250890308
643	0.2508492702
644	0.2508293339
645	0.2508045727
646	0.2507808995
647	0.2507586434
648	0.2507189022
649	0.2506680778
650	0.2506509592
651	0.2506178073
652	0.2505797688
653	0.2505552682
654	0.2505324719
655	0.2505068082
656	0.2504725995
657	0.2504343707
658	0.2504152223
659	0.2503656478
660	0.2502690492
661	0.250210879
662	0.2501743346
663	0.2501540409
664	0.2500989467
665	0.2500756607
666	0.2500038864
667	0.2499482767
668	0.249909976
669	0.2498942235
670	0.2498636985
671	0.2498041751
672	0.249763097
673	0.2497380913
674	0.2496885062
675	0.2496559879
676	0.2496306479
677	0.2495983067
678	0.2495744954
679	0.2494817143
680	0.2494500015
681	0.2493961984
682	0.2493847578
683	0.2493670093
684	0.2493465094
685	0.2493149286
686	0.2492660403
687	0.2492401026
688	0.2491873224
689	0.2491291671
690	0.2491109703
691	0.2490653241
692	0.2489984877
693	0.24896943
694	0.248931751
695	0.2488857017
696	0.2488626628
697	0.2487972422
698	0.2487654978
699	0.2487327425
700	0.2487066803
701	0.2486785112
702	0.2486355553
703	0.2485792406
704	0.2485566226
705	0.2485152633
706	0.2484726855
707	0.2484178069
708	0.2483934118
709	0.2483698054
710	0.2483315795
711	0.2482967567
712	0.2482825687
713	0.2482446626
714	0.2482158786
715	0.2481955996
716	0.2481630384
717	0.2481243028
718	0.248103947
719	0.2480694687
720	0.2480386489
721	0.247991374
722	0.2479506804
723	0.2479416929
724	0.2479176423
725	0.2478776368
726	0.2478294483
727	0.2478043764
728	0.2477443887
729	0.247709971
730	0.2476749925
731	0.2476490637
732	0.2476318031
733	0.2475869372
734	0.2475410822
735	0.2475172956
736	0.2474967364
737	0.2474631366
738	0.2474479307
739	0.2474344975
740	0.2473972912
741	0.2473660764
742	0.2473427893
743	0.2473160282
744	0.2472911854
745	0.2472731456
746	0.2472533219
747	0.2472247902
748	0.2471896736
749	0.2471704777
750	0.2471287349
751	0.2471077434
752	0.2470585677
753	0.2470337209
754	0.2470097775
755	0.2469778534
756	0.2469277226
757	0.2469020583
