iter	Passed	Remaining
430	1718	2268
431	1722	2264
432	1726	2260
433	1731	2258
434	1738	2257
435	1743	2255
436	1748	2252
437	1752	2248
438	1758	2246
439	1762	2243
440	1766	2239
441	1770	2235
442	1775	2231
443	1781	2231
444	1787	2229
445	1792	2226
446	1798	2225
447	1804	2223
448	1811	2222
449	1817	2221
450	1821	2217
451	1826	2214
452	1831	2211
453	1835	2206
454	1838	2202
455	1842	2198
456	1846	2193
457	1850	2189
458	1854	2185
459	1858	2181
460	1862	2177
461	1865	2172
462	1869	2167
463	1873	2164
464	1877	2160
465	1882	2156
466	1886	2153
467	1891	2150
468	1895	2146
469	1899	2141
470	1902	2137
471	1907	2133
472	1910	2129
473	1914	2124
474	1918	2120
475	1923	2116
476	1927	2113
477	1930	2108
478	1934	2104
479	1938	2100
480	1942	2095
481	1945	2091
482	1949	2086
483	1953	2082
484	1957	2078
485	1961	2074
486	1964	2069
487	1968	2065
488	1973	2062
489	1977	2057
490	1980	2053
491	1984	2049
492	1988	2045
493	1993	2041
494	1996	2036
495	2000	2032
496	2004	2028
497	2010	2026
498	2014	2023
499	2018	2018
500	2022	2014
501	2027	2011
502	2031	2007
503	2036	2004
504	2040	2000
505	2046	1997
506	2049	1992
507	2054	1989
508	2058	1985
509	2062	1981
510	2066	1977
511	2070	1973
512	2074	1969
513	2078	1964
514	2081	1960
515	2086	1956
516	2089	1952
517	2093	1947
518	2097	1943
519	2100	1939
520	2105	1935
521	2109	1931
522	2113	1927
523	2117	1923
524	2122	1920
525	2126	1916
526	2130	1912
527	2135	1909
528	2141	1906
529	2147	1904
530	2152	1901
531	2157	1897
532	2161	1893
533	2166	1890
534	2172	1887
535	2175	1883
536	2179	1879
537	2186	1877
538	2190	1873
539	2194	1869
540	2199	1866
541	2204	1862
542	2209	1859
543	2213	1855
544	2218	1852
545	2224	1849
546	2231	1847
547	2248	1854
548	2254	1851
549	2262	1851
550	2267	1848
551	2274	1846
552	2284	1846
553	2289	1842
554	2293	1839
555	2296	1834
556	2300	1829
557	2303	1825
558	2312	1824
559	2318	1822
560	2323	1818
561	2329	1815
562	2335	1812
563	2340	1809
564	2344	1804
565	2349	1801
566	2354	1797
567	2357	1793
568	2361	1788
569	2366	1785
570	2370	1780
571	2374	1776
572	2378	1772
573	2381	1767
574	2386	1763
575	2389	1758
576	2393	1754
577	2397	1750
578	2400	1745
579	2404	1741
580	2408	1736
581	2412	1732
582	2416	1728
583	2419	1723
584	2423	1719
585	2427	1714
586	2431	1710
587	2434	1705
588	2438	1701
589	2442	1697
590	2445	1692
591	2448	1687
592	2452	1683
593	2456	1679
594	2459	1674
595	2463	1669
596	2466	1664
597	2470	1660
598	2474	1656
599	2477	1651
600	2481	1647
601	2485	1642
602	2488	1638
603	2491	1633
604	2496	1629
605	2499	1625
606	2503	1620
607	2507	1616
608	2510	1611
609	2514	1607
610	2517	1603
611	2521	1598
612	2525	1594
613	2529	1590
614	2533	1586
615	2537	1581
616	2541	1577
617	2545	1573
618	2549	1569
619	2553	1565
620	2557	1560
621	2562	1557
622	2567	1553
623	2571	1549
624	2574	1544
625	2579	1541
626	2583	1537
627	2587	1532
628	2591	1528
629	2596	1524
630	2600	1520
631	2603	1516
632	2607	1511
633	2612	1508
634	2616	1503
635	2619	1499
636	2622	1494
637	2626	1490
638	2630	1486
639	2634	1481
640	2637	1477
641	2641	1472
642	2646	1469
643	2650	1464
644	2653	1460
645	2656	1455
646	2660	1451
647	2664	1447
648	2668	1443
649	2671	1438
650	2675	1434
651	2679	1430
652	2683	1426
653	2688	1422
654	2692	1418
655	2697	1414
656	2701	1410
657	2704	1405
658	2708	1401
659	2712	1397
660	2717	1393
661	2721	1389
662	2724	1384
663	2728	1380
664	2733	1376
665	2737	1372
666	2740	1368
667	2744	1364
668	2748	1359
669	2752	1355
670	2757	1351
671	2761	1347
672	2765	1343
673	2769	1339
674	2774	1336
675	2779	1331
676	2783	1327
677	2787	1323
678	2790	1319
679	2795	1315
680	2799	1311
681	2803	1307
682	2806	1302
683	2810	1298
684	2815	1294
685	2818	1290
686	2822	1285
687	2826	1281
688	2830	1277
689	2833	1273
690	2837	1268
691	2841	1264
692	2845	1260
693	2850	1256
694	2854	1252
695	2857	1248
696	2862	1244
697	2866	1240
698	2870	1236
699	2877	1233
700	2883	1229
701	2887	1225
702	2891	1221
703	2897	1218
704	2902	1214
705	2905	1209
706	2909	1205
707	2913	1201
708	2917	1197
709	2920	1192
710	2923	1188
711	2928	1184
712	2932	1180
713	2937	1176
714	2941	1172
715	2945	1168
716	2949	1164
717	2953	1159
718	2957	1156
719	2961	1151
720	2965	1147
721	2968	1143
722	2971	1138
723	2976	1134
724	2981	1130
725	2987	1127
726	2998	1126
727	3002	1121
728	3010	1118
729	3017	1115
730	3024	1113
731	3032	1110
732	3036	1105
733	3039	1101
734	3044	1097
735	3049	1093
736	3053	1089
737	3058	1085
738	3062	1081
739	3066	1077
740	3070	1073
741	3074	1069
742	3078	1064
743	3082	1060
744	3085	1056
745	3089	1052
746	3093	1047
747	3097	1043
748	3101	1039
749	3105	1035
750	3108	1030
751	3112	1026
752	3116	1022
753	3120	1018
754	3127	1014
755	3130	1010
756	3136	1006
757	3140	1002
758	3144	998
759	3148	994
760	3152	989
761	3156	985
762	3160	981
763	3164	977
764	3168	973
765	3172	969
766	3176	964
767	3180	960
768	3184	956
769	3187	952
770	3192	948
771	3195	943
772	3199	939
773	3203	935
774	3207	931
775	3211	926
776	3215	922
777	3218	918
778	3222	914
779	3237	913
780	3241	909
781	3245	904
782	3249	900
783	3252	896
784	3256	891
785	3260	887
786	3264	883
787	3268	879
788	3272	875
789	3276	870
790	3279	866
791	3283	862
792	3287	858
793	3291	853
794	3294	849
795	3298	845
796	3302	841
797	3305	836
798	3309	832
799	3313	828
800	3317	824
801	3320	819
802	3324	815
803	3328	811
804	3332	807
805	3336	803
806	3340	798
807	3344	794
808	3348	790
809	3353	786
810	3359	783
811	3363	778
812	3367	774
813	3372	770
814	3381	767
815	3384	763
816	3389	759
817	3393	754
818	3396	750
819	3400	746
820	3404	742
821	3408	738
822	3412	733
823	3416	729
824	3419	725
825	3424	721
826	3429	717
827	3434	713
828	3440	709
829	3445	705
830	3450	701
831	3455	697
832	3459	693
833	3464	689
834	3474	686
835	3480	682
836	3484	678
837	3488	674
838	3494	670
839	3497	666
840	3500	661
841	3505	657
842	3508	653
843	3512	649
844	3516	645
845	3520	640
846	3524	636
847	3527	632
848	3531	628
849	3535	623
850	3539	619
851	3543	615
852	3547	611
853	3550	607
854	3555	602
855	3559	598
856	3564	594
857	3567	590
858	3571	586
859	3576	582
860	3580	578
861	3584	573
862	3588	569
863	3592	565
864	3596	561
865	3599	556
866	3603	552
867	3607	548
868	3611	544
869	3615	540
870	3618	535
871	3622	531
872	3626	527
873	3630	523
874	3633	519
875	3638	514
876	3642	510
877	3645	506
878	3649	502
879	3653	498
880	3657	494
881	3661	489
882	3664	485
883	3668	481
884	3671	477
885	3675	472
886	3691	470
887	3695	466
888	3699	461
889	3703	457
890	3707	453
891	3710	449
892	3714	445
893	3717	440
894	3721	436
895	3725	432
896	3728	428
897	3732	424
898	3736	419
899	3739	415
900	3742	411
901	3746	407
902	3749	402
903	3753	398
904	3756	394
905	3760	390
906	3763	385
907	3767	381
908	3771	377
909	3774	373
910	3778	369
911	3782	364
912	3785	360
913	3789	356
914	3792	352
915	3795	348
916	3799	343
917	3803	339
918	3807	335
919	3811	331
920	3814	327
921	3818	323
922	3822	318
923	3825	314
924	3829	310
925	3833	306
926	3837	302
927	3840	297
928	3844	293
929	3848	289
930	3852	285
931	3856	281
932	3859	277
933	3863	272
934	3866	268
935	3871	264
936	3876	260
937	3879	256
938	3884	252
939	3888	248
940	3891	244
941	3896	239
942	3900	235
943	3904	231
944	3907	227
945	3911	223
946	3915	219
947	3919	215
948	3923	210
949	3926	206
950	3930	202
951	3934	198
952	3937	194
953	3941	190
954	3944	185
955	3948	181
956	3952	177
957	3956	173
958	3959	169
959	3962	165
960	3966	160
961	3970	156
962	3973	152
963	3977	148
964	3981	144
965	3985	140
966	3988	136
967	3992	131
968	3995	127
969	3999	123
970	4002	119
971	4006	115
972	4010	111
973	4014	107
974	4018	103
975	4022	98
976	4026	94
977	4029	90
978	4033	86
979	4037	82
980	4041	78
981	4045	74
982	4048	70
983	4052	65
984	4056	61
985	4059	57
986	4062	53
987	4066	49
988	4070	45
989	4073	41
990	4077	37
991	4081	32
992	4085	28
993	4088	24
994	4093	20
995	4096	16
996	4100	12
997	4104	8
998	4107	4
999	4111	0
